0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,positive
145,354,1062,3564,381,929,2813,1203,2933,4209,145,-50976.0,17921250.0,-6300508968.0,-54864.0,19287911.0,-6780905773.0,20759226.0,-7298083975.0,-7854871242.0,82274.26712,56069.1732,387437775.5,21478788673.0,56069.1732,34872825.78,-3912798424.0,387437775.5,-3912798424.0,21478788673.0,2,0,0,0,0,3,0,1,2,4,0,1,1,0,0,1,0,1,0,0,0,6,10,10,6,13,10,10,9,8,1,1,9,18,6,16,12,-71,-6,12526,321078,-2161,-13282,-21506,-44837,-328518,-814957,-71,-432.0,9898.0,530562.0,-155592.0,-959800.0,21130892.0,-340949070.0,-2131447268.0,-747000000000.0,-8.58e+22,4.06e+26,-1.13e+31,2.03e+35,4.06e+26,-4.18e+29,2.1900000000000003e+34,-1.13e+31,2.1900000000000003e+34,2.03e+35,21.0,0.0,0.0,0.0,0.0,19.0,0.0,9.0,20.0,18.0,0.0,16.0,5.0,0.0,0.0,15.0,0.0,13.0,0.0,0.0,0.0,370.0,2833.0,20887.0,115543.0,4293.0,33153.0,256033.0,61471.0,481745.0,952299.0,370.0,-1045377.0,2953548039.0,-8340000000000.0,-1584117.0,4475674545.0,-12600000000000.0,6782245903.0,-19200000000000.0,-29000000000000.0,4.47e+23,-6.3e+25,1.87e+31,-1.98e+35,-6.3e+25,8.46e+29,-1.5900000000000002e+34,1.87e+31,-1.5900000000000002e+34,-1.98e+35,13.0,0.0,0.0,0.0,0.0,1
5501,65589,1024017,18007995,63644,768288,12089232,963032,11675488,16384274,5501,-360739500.0,23700000000000.0,-1.55e+18,-350042000.0,23000000000000.0,-1.51e+18,22300000000000.0,-1.46e+18,-1.42e+18,3.36e+27,4.27e+29,2.0500000000000003e+35,-2.7e+39,4.27e+29,1.0900000000000002e+34,-2.01e+38,2.0500000000000003e+35,-2.01e+38,-2.7e+39,31,4,29,29,18,24,6,40,41,31,7,51,19,12,16,49,37,33,7,25,0,11,12,9,12,18,10,9,5,18,16,15,16,10,10,8,5,16,11,17,6,10,8,16,12,20,12,16,16.0,12.0,18.0,10.0,1.0,9.0,6.0,12.0,18.0,4.0,4.0,7.0,16.0,10.0,8.0,12.0,12.0,6.0,14.0,18.0,18.0,17.0,16.0,12.0,17.0,9.0,2.0,12.0,10.0,1.0,9.0,16.0,16.0,3.0,8.0,3.0,9.0,12.0,8.0,20.0,6.0,10.0,16.0,20.0,3.0,13.0,15.0,9.0,8.0,10.0,16.0,20.0,12.0,6.0,4.0,14.0,18.0,4.0,12.0,5.0,18.0,13.0,1.0,4.0,6.0,5.0,4.0,12.0,13.0,3.0,9.0,5.0,8.0,18.0,18.0,1
3197,29545,363689,5055211,27293,248347,3038193,301925,2711255,3760715,3197,-94425820.0,2790000000000.0,-8.24e+16,-87228428.0,2580000000000.0,-7.61e+16,2380000000000.0,-7.03e+16,-6.49e+16,4.84e+20,9.25e+22,7.47e+27,-3.89e+31,9.25e+22,4.05e+26,-2.48e+30,7.47e+27,-2.48e+30,-3.89e+31,14,2,16,24,7,21,5,23,20,16,8,8,8,7,14,25,24,22,5,21,0,11,16,16,15,1,6,8,1,4,6,20,4,14,8,4,18,3,18,18,1,18,19,9,4,6,20,18,20.0,4.0,12.0,15.0,6.0,16.0,17.0,16.0,18.0,4.0,14.0,9.0,8.0,9.0,8.0,17.0,9.0,6.0,11.0,15.0,12.0,10.0,12.0,16.0,4.0,17.0,9.0,17.0,10.0,17.0,1.0,16.0,8.0,6.0,16.0,17.0,8.0,16.0,17.0,6.0,3.0,10.0,5.0,4.0,8.0,1.0,17.0,18.0,3.0,18.0,16.0,20.0,16.0,20.0,16.0,7.0,4.0,4.0,16.0,14.0,18.0,16.0,11.0,17.0,4.0,17.0,4.0,18.0,20.0,4.0,16.0,9.0,4.0,8.0,4.0,1
351,1244,5410,26000,1166,3978,16918,4808,15806,22340,351,-435400.0,540095474.0,-670000000000.0,-408100.0,506229874.0,-628000000000.0,474489852.0,-589000000000.0,-552000000000.0,5974814.018999999,57132118.09,266000000000.0,-5540000000000.0,57132118.09,19360227252.0,-6060000000000.0,266000000000.0,-6060000000000.0,-5540000000000.0,2,0,2,0,4,3,0,2,8,2,0,0,0,1,2,4,1,4,0,0,0,6,9,5,16,18,5,16,9,8,10,15,16,8,1,9,18,5,9,6,18,6,9,18,15,9,14,5,9.0,17.0,1.0,16.0,3.0,10.0,3.0,9.0,2094.0,18817.0,235421.0,3349243.0,20920.0,179912.0,2179566.0,242646.0,1974552.0,3263770.0,2094.0,-39383981.0,741000000000.0,-1.39e+16,-43785560.0,824000000000.0,-1.55e+16,916000000000.0,-1.72e+16,-1.91e+16,2.53e+24,6.38e+26,8.05e+31,-5.5800000000000004e+35,6.38e+26,2.58e+30,-2.7600000000000002e+34,8.05e+31,-2.7600000000000002e+34,-5.5800000000000004e+35,44.0,0.0,66.0,0.0,53.0,41.0,0.0,22.0,153.0,43.0,0.0,0.0,0.0,26.0,35.0,54.0,29.0,64.0,0.0,0.0,0.0,3490.0,37165.0,479249.0,6985303.0,33902.0,354110.0,4504108.0,448224.0,4618226.0,6576386.0,3490.0,-129668685.0,4820000000000.0,-1.79e+17,-118284078.0,4390000000000.0,1
295,1039,4573,22375,1073,3744,16342,4609,15810,21737,295,-305466.0,316304226.0,-328000000000.0,-315462.0,326653915.0,-338000000000.0,337344006.0,-349000000000.0,-361000000000.0,5021567.338,-6439070.686000001,243000000000.0,-11700000000000.0,-6439070.686000001,14223856863.0,-7210000000000.0,243000000000.0,-7210000000000.0,-11700000000000.0,7,0,0,0,3,3,0,0,8,2,0,1,0,3,0,0,1,4,0,1,0,6,5,6,1,10,5,9,5,10,1,9,9,18,1,9,17,18,1,9,14,1,1,9,14,6,1,9,20.0,18.0,18.0,12.0,9.0,14.0,1148.0,17558.0,288842.0,4821254.0,-298.0,68856.0,1558612.0,-104968.0,44162.0,-2568112.0,1148.0,-20139026.0,353000000000.0,-6200000000000000.0,341806.0,-5996128608.0,105000000000000.0,101664416.0,-1780000000000.0,30204403336.0,1.39e+24,3.82e+27,-9.81e+30,8.16e+35,3.82e+27,2.96e+30,1.21e+35,-9.81e+30,1.21e+35,8.16e+35,115.0,0.0,0.0,0.0,16.0,29.0,0.0,0.0,146.0,14.0,0.0,31.0,0.0,77.0,0.0,0.0,16.0,89.0,0.0,28.0,0.0,1956.0,10861.0,78091.0,615391.0,27289.0,161227.0,1329535.0,435157.0,2678005.0,7271665.0,1956.0,-21233255.0,230000000000.0,-2500000000000000.0,-53349995.0,579000000000.0,-6290000000000000.0,1460000000000.0,1
4961,56324,834960,13985126,54930,609521,8884683,785902,8546311,12627024,4961,-279367040.0,15700000000000.0,-8.86e+17,-272452800.0,15300000000000.0,-8.64e+17,15000000000000.0,-8.43e+17,-8.22e+17,1.32e+26,1.56e+28,6.33e+33,-7.12e+37,1.56e+28,3.25e+32,-5.25e+36,6.33e+33,-5.25e+36,-7.12e+37,28,1,32,30,13,25,8,22,31,41,6,22,17,21,18,33,36,44,8,19,0,11,1,12,9,1,18,12,3,5,8,10,1,11,12,20,3,9,9,9,10,10,17,7,14,6,4,16,8.0,4.0,12.0,15.0,5.0,8.0,9.0,4.0,6.0,12.0,14.0,10.0,13.0,3.0,4.0,5.0,18.0,18.0,8.0,4.0,15.0,9.0,9.0,15.0,16.0,10.0,16.0,17.0,12.0,17.0,16.0,16.0,18.0,17.0,1.0,17.0,12.0,3.0,16.0,15.0,10.0,20.0,13.0,6.0,1.0,10.0,10.0,18.0,18.0,3.0,4.0,17.0,10.0,10.0,4.0,12.0,12.0,13.0,17.0,10.0,10.0,1.0,18.0,3.0,15.0,1.0,13.0,11.0,17.0,20.0,16.0,8.0,3.0,10.0,13.0,1
5019,57596,869926,14780402,55862,629647,9453155,808950,9018863,13185086,5019,-289016728.0,16600000000000.0,-9.58e+17,-280315516.0,16100000000000.0,-9.3e+17,15700000000000.0,-9.02e+17,-8.74e+17,1.33e+26,1.37e+28,6.5e+33,-7.54e+37,1.37e+28,3.42e+32,-5.73e+36,6.5e+33,-5.73e+36,-7.54e+37,39,3,25,23,18,22,8,24,38,31,8,44,16,14,13,38,38,39,6,20,0,11,9,12,5,9,6,15,9,5,10,17,2,18,10,18,16,10,2,17,10,12,20,16,16,8,16,5,1.0,4.0,17.0,14.0,1.0,6.0,7.0,1.0,12.0,3.0,8.0,17.0,9.0,12.0,1.0,16.0,16.0,8.0,3.0,17.0,6.0,8.0,6.0,12.0,10.0,17.0,20.0,12.0,12.0,14.0,4.0,1.0,18.0,12.0,6.0,3.0,9.0,18.0,4.0,16.0,5.0,18.0,13.0,9.0,4.0,16.0,8.0,12.0,16.0,12.0,6.0,9.0,5.0,18.0,18.0,18.0,3.0,18.0,15.0,9.0,12.0,7.0,10.0,14.0,15.0,7.0,14.0,16.0,8.0,5.0,15.0,10.0,10.0,3.0,16.0,1
240,702,2634,11112,642,1823,6783,2046,5661,7230,240,-167778.0,117289986.0,-81995308788.0,-153438.0,107264615.0,-74986343553.0,98097078.0,-68577144699.0,-62716334622.0,680890.4865,7804042.122,9119447971.0,984000000000.0,7804042.122,694312401.6,-15800856437.0,9119447971.0,-15800856437.0,984000000000.0,0,2,0,0,0,2,0,1,4,4,0,0,0,0,0,1,2,5,0,0,0,10,8,6,10,18,16,9,6,17,2,18,10,18,9,17,18,2,9,9,18,10,823,9900,145718,2332770,8604,100660,1457116.0,105142.0,1201884.0,1455954.0,823.0,-8137800.0,80466355718.0,-796000000000000.0,-7072488.0,69932552260.0,-691000000000000.0,60777763078.0,-601000000000000.0,-522000000000000.0,9.94e+23,1.38e+26,3.39e+31,-2.63e+35,1.38e+26,1.11e+30,-1.5500000000000001e+34,3.39e+31,-1.5500000000000001e+34,-2.63e+35,0.0,27.0,0.0,0.0,0.0,11.0,0.0,2.0,58.0,38.0,0.0,0.0,0.0,0.0,0.0,6.0,24.0,65.0,0.0,0.0,0.0,303.0,2826.0,30140.0,365880.0,3726.0,33028.0,334392.0,60040.0,530256.0,1014108.0,303.0,-853452.0,2403899216.0,-6770000000000.0,-1125252.0,3169465504.0,-8930000000000.0,4178865916.0,-11800000000000.0,-15500000000000.0,3.66e+23,-1.14e+26,1.77e+31,-2.27e+35,-1.14e+26,1.06e+30,-2.06e+34,1.77e+31,-2.06e+34,-2.27e+35,1
5586,69155,1125309,20617757,65405,792029,12767111,997021,11892621,17023433,5586,-386230675.0,26700000000000.0,-1.85e+18,-365286925.0,25300000000000.0,-1.75e+18,23900000000000.0,-1.65e+18,-1.56e+18,8.19e+28,1.99e+31,5.95e+36,-8.040000000000001e+40,1.99e+31,3.0800000000000003e+35,-5.3200000000000003e+39,5.95e+36,-5.3200000000000003e+39,-8.040000000000001e+40,35,4,34,25,27,32,11,36,37,42,18,29,23,22,27,36,26,23,14,32,0,11,8,15,5,6,12,13,16,16,16,3,9,15,15,14,15,2,15,16,19,20,19,6,6,10,10,10,10.0,19.0,1.0,18.0,1.0,4.0,17.0,15.0,1.0,3.0,8.0,7.0,20.0,1.0,17.0,18.0,20.0,19.0,10.0,4.0,1.0,4.0,9.0,16.0,5.0,14.0,8.0,9.0,3.0,18.0,10.0,12.0,6.0,3.0,1.0,20.0,6.0,20.0,20.0,12.0,3.0,1.0,8.0,14.0,16.0,17.0,6.0,19.0,6.0,8.0,10.0,4.0,8.0,9.0,1.0,6.0,20.0,6.0,12.0,14.0,13.0,8.0,16.0,12.0,4.0,8.0,10.0,11.0,20.0,1.0,1.0,6.0,5.0,10.0,4.0,1
2549,22909,266963,3490639,20946,186744,2171598,220618,1940972,2598210,2549,-58372132.0,1340000000000.0,-3.06e+16,-53370408.0,1220000000000.0,-2.8e+16,1120000000000.0,-2.56e+16,-2.34e+16,2.14e+19,3.08e+21,2.5e+26,-1.1e+30,3.08e+21,1.31e+25,-7.34e+28,2.5e+26,-7.34e+28,-1.1e+30,40,2,15,11,4,27,5,7,7,27,1,3,11,8,25,15,12,34,3,1,0,11,1,15,15,1,15,18,3,1,4,10,18,15,15,6,10,1,15,16,15,14,14,1,1,4,10,8,6.0,1.0,6.0,9.0,18.0,15.0,8.0,3.0,6.0,10.0,13.0,1.0,18.0,9.0,13.0,1.0,17.0,1.0,18.0,16.0,3.0,17.0,17.0,1.0,10.0,17.0,18.0,18.0,17.0,3.0,16.0,1.0,19.0,18.0,16.0,15.0,6.0,1.0,7.0,9.0,10.0,18.0,6.0,1.0,10.0,4.0,1.0,5.0,1.0,8.0,1.0,18.0,1.0,6.0,15.0,15.0,2.0,10.0,3.0,1.0,6.0,1.0,16.0,17.0,6.0,6.0,5.0,17.0,4.0,18.0,10.0,10.0,3.0,15.0,6.0,1
