F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,F65,F66,F67,F68,F69,F70,F71,F72,F73,F74,F75,F76,F77,F78,F79,F80,F81,F82,F83,F84,F85,F86,F87,F88,F89,F90,F91,F92,F93,F94,F95,F96,F97,F98,F99,F100,F101,F102,F103,F104,F105,F106,F107,F108,F109,F110,F111,F112,F113,F114,F115,F116,F117,F118,F119,F120,F121,F122,F123,F124,F125,F126,F127,F128,F129,F130,F131,F132,F133,F134,F135,F136,F137,F138,F139,F140,F141,F142,F143,F144,F145,F146,F147,F148,F149,F150,F151,F152,Positive,Nagetive
2246,17529,178835,2053029,17122,132541,1349681,169224,1292329,1895104,2246,-39352605,689504726039,-12080948547355143,-38438890,673495303813,-11800443558782853,657857680920,-11526452974094719,-11258825470823944,6.943751042214876e+16,4.168483627192431e+18,4.5390233974439376e+23,-1.6533748353040486e+27,4.168483627192432e+18,2.560327744447244e+22,-1.4473451066010571e+26,4.5390233974439376e+23,-1.4473451066010568e+26,-1.6533748353040486e+27,16,4,20,12,13,12,2,13,13,11,6,9,5,14,11,18,15,14,3,9,0,329567,3220630,42738694,638987896,3659624,35143532,462499002,50924762,485382598,783426092,329567,-1061410146580,3418398987965087194,-11009364927037178866691764,-1206087643184,3884350260007986332,-12510017018864351824120774,4413813892302706202,-14215218302816609458081718,-16152850239389813605458308,3.980818791092277e+26,-7.701934202204582e+27,1.576117218755731e+34,-1.6017093260356338e+38,-7.701934202204582e+27,7.390576779750783e+32,-1.2443292296937983e+37,1.576117218755731e+34,-1.244329229693798e+37,-1.6017093260356338e+38,1898,759,2274,1614,1143,1246,371,1110,1319,1388,546,934,877,1917,1067,1632,1459,1810,317,629,0,345078,3676385,50973465,791736485,3278155,34437299,474613203,41347365,431378299,588593905,345078,-1268635906645,4663980501895383565,-17146538268526557117757465,-1131215892935,4158773088822407599,-15289206695534861699752727,3708290289245478265,-13633063287716643213250791,-12156315125374851030256445,4.1681751716420044e+26,1.5503234565588595e+29,1.375887076814915e+34,-1.0684446148256462e+38,1.5503234565588595e+29,7.907290274207496e+32,-5.598585576014836e+36,1.3758870768149153e+34,-5.598585576014836e+36,-1.0684446148256462e+38,1638,125,2146,1038,1730,1406,71,1763,1554,1043,780,1055,228,1177,1364,2346,1856,1284,346,1360,0,0,1
165,478,1678,6640,399,1112,3778,1159,3106,3747,165,-78392,37244570,-17695286636,-65436,31088798,-14770477608,25950922,-12329326908,-10291817814,468112.2094522128,8427281.596511085,5524012051.687071,830567587468.5062,8427281.596511085,509030145.01690817,43791612564.33746,5524012051.687071,43791612564.33746,830567587468.5062,2,0,0,0,0,3,0,1,2,6,0,1,1,0,0,1,0,1,0,0,0,55,1254,25126,447078,-1038,-2052,90794,-32154,-201688,-652182,55,-67716,83368474,-102634700262,56052,-68989608,84909441614,57072378,-70222108876,58055337606,6.643414950831715e+22,4.843564638263463e+26,-6.872250222320968e+30,1.776021185486155e+35,4.843564638263463e+26,-1.8537738784081532e+29,2.1527914898696206e+34,-6.872250222320968e+30,2.1527914898696206e+34,1.776021185486155e+35,21,0,0,0,0,19,0,9,20,53,0,16,5,0,0,15,0,13,0,0,0,412,3088,25406,206746,4720,35773,301923,63574,486275,932974,412,-1269168,3909680446,-12043803540486,-1939920,5975933373,-18408903625565,9134207574,-28137974500157,-43008904906866,4.976521744986659e+23,-5.234216259791213e+25,1.9563028372913797e+31,-1.839722670465411e+35,-5.234216259791213e+25,6.878960317336582e+29,-1.348713219715512e+34,1.9563028372913794e+31,-1.348713219715512e+34,-1.839722670465411e+35,17,0,0,0,0,38,0,10,18,61,0,3,14,0,0,4,0,6,0,0,0,1,0
68662,2861239,157505727,9749775799,2849775,118972051,6555964967,154876633,6463049855,9452836059,68662,-196455530979,562098040471713587,-1608273412049812179615081,-195668401275,559845907027280551,-1601829613745537819442561,557602797180789133,-1595411633736461275618607,-1589019368575855679914791,7.716632570054032e+128,2.6267441616946353e+129,3.1464931302663303e+139,-1.2975854024306955e+145,2.626744161694298e+129,1.513597668795184e+138,-8.601314206809347e+143,3.1464931302663303e+139,-8.601314206809347e+143,-1.2975854024306955e+145,456,229,384,322,377,394,127,334,428,568,130,358,236,216,222,414,376,655,88,317,0,414930187,4357950074,59858684410,922526221370,4350867865,44955371282,612213852534,59368838291,608097458432,910997632207,414930187,-1808245034783533764,7880241564153304753187377470,-34341699224874764581971191219527498866,-1805306412485872890,7867435194924619395644493132,-34285889707281447232741794451001470012,7854649637633168004254859916,-34230170887071320145192275733016222562,-34174542616849894488304386994004764938,5.011915287031261e+29,6.590265511032424e+31,1.8785845848532332e+37,-1.8343976877244336e+41,6.590265511032425e+31,9.960688402998992e+35,-1.3570665955002038e+40,1.8785845848532332e+37,-1.3570665955002038e+40,-1.8343976877244336e+41,1425269,784117,1266400,939615,1201294,1306498,457835,1056310,1313418,1873604,471192,1379859,791524,711228,774521,1407109,1293852,2112406,281918,1140427,0,414639703,4232072399,57435582065,880911158459,4357734636,43727745869,588111978237,59540596368,592187154435,914383517700,414639703,-1754785238363785098,7426378155541574101471276966,-31428969940805759943401644734158813646,-1806889790866118472,7646888393517133858161088433,-32362185230388382422742729050659753765,7873946206102229806060340064,-33323110329689587569672509681636918565,-34312568021579749778821099853685091644,5.008406549306575e+29,6.293669041373048e+31,1.882154169979455e+37,-1.8435759008768597e+41,6.293669041373048e+31,9.949940820884015e+35,-1.3687058016862509e+40,1.882154169979455e+37,-1.368705801686251e+40,-1.8435759008768593e+41,1598923,734611,1280288,1195889,1298970,1306510,384429,1158778,1525078,1893372,390968,994397,773628,721284,697783,1338539,1199780,2231554,301698,961917,0,0,1
5711,68981,1079211,18972389,68319,824753,12846919,1070043,12849709,18852219,5711,-393881510,27165583142160,-1873581001902754412,-390101490,26904878993504,-1855600500809710348,26646677279592,-1837792590268006916,-1820155613294423304,3.4905299361463854e+27,5.869982025921271e+28,2.246125921570479e+35,-3.208812271635853e+39,5.869982025921267e+28,1.2127552849517105e+34,-2.5999132955425528e+38,2.246125921570479e+35,-2.5999132955425528e+38,-3.208812271635853e+39,31,4,30,29,18,25,6,45,43,31,8,52,19,12,16,53,37,35,7,26,0,2308245,25029515,346415115,5345933921,23806031,254167329,3489022139,317314671,3356367487,4764000587,2308245,-57774227821660,1446060275399381574790,-36194171673624307462787065504,-54950128219564,1375374462670344593824,-34424940830117074996316425246,1308143889122120732194,-32742192910047809091624116906,-31141700485393680768597495238,2.7881144260331866e+27,4.8376592081431215e+29,1.0137464710144178e+35,-9.359020264759227e+38,4.837659208143119e+29,5.240665596415403e+33,-6.519974338613558e+37,1.0137464710144178e+35,-6.519974338613558e+37,-9.359020264759227e+38,8980,913,7313,8823,4644,6785,2049,11955,11276,7080,1515,12456,4775,3217,4630,11338,12162,8701,3069,7447,0,2425812,26261370,354509068,5308630356,25564402,272994542,3657034120,350612968,3716480440,5410813030,2425812,-63705120221070,1672983043360801298068,-43934808594037937266588256124,-62014407580022,1628582631433815593942,-42768793428939205168135112496,1585360591629230572208,-41633723917387797844523354808,-40528778772060650353350324050,2.930122856128537e+27,3.476248027385467e+29,1.1066385121720737e+35,-1.0963301199901346e+39,3.476248027385464e+29,5.873950136555901e+33,-8.239688953272932e+37,1.1066385121720737e+35,-8.239688953272932e+37,-1.0963301199901346e+39,7388,1199,8527,6489,4860,6415,1119,11805,11428,9288,2709,15000,5257,3119,3818,16646,7374,9779,627,6281,0,1,0
22549,545235,17457523,630421305,537731,12928489,412707723,16903889,405205129,597250961,22549,-12293958780,6702799351665598,-3654438735423736157160,-12124758588,6610549571894884,-3604143154948443525770,6519569422559356,-3554539790789049490614,-3505619115933694893102,6.617909945797381e+66,3.754891165278708e+69,1.7477747088914216e+76,-1.7259391476458049e+81,3.754891165278708e+69,8.780960002705194e+74,-1.1424043251164611e+80,1.7477747088914216e+76,-1.1424043251164615e+80,-1.7259391476458049e+81,195,45,94,154,78,175,63,98,88,235,52,57,146,91,124,140,121,193,20,56,0,45829905,467820914,6226544102,92625446138,482037701,4843241441,63944442465,6593696491,65760890775,101379839555,45829905,-21440187577812256,10030167930127174373070690,-4692322226259984050397193841151034,-22091741561210704,10334978503510065470826183,-4834918984185396747004927142010777,10649052080891819941082594,-4981849169013388747237417409017909,-5133244470895918674205946166868120,5.535765019494484e+28,6.844540896700601e+30,2.0834143988514316e+36,-2.046553570819646e+40,6.844540896700601e+30,1.102875850538702e+35,-1.5238613445337966e+39,2.0834143988514316e+36,-1.5238613445337966e+39,-2.046553570819646e+40,213076,43667,104745,173118,86792,178007,79286,105816,101983,252254,73863,52091,172493,98567,150418,156117,138809,219091,19170,57062,0,45369510,456478830,6062655346,90486172194,471168770,4661563282,61380992236,6367859996,62483620090,96912711044,45369510,-20710220385994470,9453776962467987876556546,-4315448951790518806331943317012346,-21376695751033930,9758008850619375456126082,-4454324365081568795718216444663304,10072031221678879570913196,-4597668926457145230872991656319870,-4745626457520569454640468700294716,5.4801542008347e+28,8.55091192920952e+30,2.0248192021256772e+36,-1.9321816253898725e+40,8.55091192920952e+30,1.0726086453364445e+35,-1.3941835948223103e+39,2.0248192021256772e+36,-1.3941835948223103e+39,-1.9321816253898725e+40,220994,56503,104499,169686,86836,211543,60952,112332,93905,270856,41889,74791,152503,103999,125606,155523,130537,210527,25350,67594,0,0,1
3312,30686,372434,5121668,29185,265742,3181350,333659,3006756,4293631,3312,-101601346,3116797645194,-95613180515852008,-96631535,2964339977842,-90936274091979304,2819339918409,-86488143007644008,-82257596251242239,5.0132126491580255e+20,6.928949922690684e+22,8.119538126960116e+27,-4.66863453810158e+31,6.928949922690681e+22,4.3914798558114826e+26,-3.37451867093537e+30,8.119538126960116e+27,-3.37451867093537e+30,-4.66863453810158e+31,14,2,16,25,7,22,6,23,21,17,8,8,9,8,14,27,24,22,5,22,0,634910,6966735,97797737,1541215941,7317515,79009081,1098828291,103143037,1103342115,1608225611,634910,-4423242752115,30815511559357132037,-214683164791594614556015269,-4645956131135,32367094208133939781,-225492612910877713203899959,33996800132999697337,-236846324334758066432309635,-248771703102889979495952179,7.669037429877371e+26,-9.355970104581173e+28,3.1490400111900173e+34,-3.348598083510575e+38,-9.35597010458118e+28,1.3622755398767052e+33,-2.7399792247695063e+37,3.1490400111900173e+34,-2.7399792247695063e+37,-3.3485980835105745e+38,1882,559,3039,2879,1367,3251,877,2979,3515,3073,1143,1223,1775,1122,2321,3323,3152,3020,869,3781,0,746646,8284216,116919816,1838755342,7828220,85499256,1196374296,107449596,1162678936,1660542296,746646,-6185368455320,51240859695339414280,-424489781212702836798107954,-5844901321900,48420360198725254136,-401124185448746782538901576,45755112145203099196,-379044724451148744464845640,-358180604277632187604119064,9.01868945341579e+26,1.1886771104128834e+29,3.3969702722121773e+34,-3.3652336290215553e+38,1.1886771104128834e+29,1.8382930570388758e+33,-2.5230126187297485e+37,3.3969702722121773e+34,-2.5230126187297485e+37,-3.3652336290215557e+38,2332,43,1777,4646,740,3371,929,3944,2806,2044,1265,1185,934,1286,1893,4804,4072,3602,636,2841,0,1,0
6967,96883,1766033,36150061,92088,1286240,23446998,1600208,22305602,31316742,6967,-674886978,65375690539918,-6332883994316978424,-641485008,62140071554600,-6019452472606932994,59064592817168,-5721533595586122030,-5438359593401933178,1.7935495524135117e+33,5.141123721090198e+35,2.4256715750428582e+41,-4.781351907785588e+45,5.141123721090198e+35,1.2759074871837076e+40,-3.2449080462602048e+44,2.4256715750428582e+41,-3.2449080462602048e+44,-4.781351907785588e+45,49,15,39,54,14,60,14,28,52,43,16,30,59,34,49,54,26,32,11,15,0,4292580,42568029,546382935,7907707131,46068249,450394713,5734428985,636568775,6182855195,9844510785,4292580,-182726627356791,7778310560359526073033,-331107272369589551632774436667,-197751598224171,8417893806968750612451,-358333064216634526460072408177,9110067744856138089353,-387797537613613804239551353087,-419684771507071926199588749813,5.184980027207486e+27,3.703850130501599e+29,1.9945613811413394e+35,-2.0067775226862507e+39,3.703850130501597e+29,1.023776243193352e+34,-1.5356227649060753e+38,1.9945613811413394e+35,-1.5356227649060753e+38,-2.0067775226862507e+39,16089,4384,14651,17738,5631,20404,6209,11886,21579,17327,4795,10817,17066,10270,14408,18110,9267,9863,3783,6888,0,4214662,42808485,561378533,8161899849,44293860,443133588,5768081134,607749822,6040996386,9388969326,4214662,-180423252198585,7723644252828516377033,-330637430693203082421558646041,-186683604281460,7991640377476217919588,-342109936053189817595171806106,8268935470392963885822,-353980516062387040361107036644,-366262983172510982259963613434,5.090863371545862e+27,6.400025412210539e+29,1.9199198035367858e+35,-1.9030472843557743e+39,6.400025412210547e+29,1.0297764267871039e+34,-1.4294453600186121e+38,1.9199198035367858e+35,-1.4294453600186121e+38,-1.9030472843557743e+39,17966,6041,12454,19792,4099,21296,3521,7574,14561,12558,6325,10033,23939,13360,19647,19420,8803,12377,3862,3537,0,0,1
377,1400,6638,35798,1189,4109,18851,4657,15133,20575,377,-526400,735006638,-1026283843802,-447064,624229109,-871603938931,530150032,-740240591469,-628678527550,44921749.84525051,1842003797.234006,3604700401298.58,407603022955499.2,1842003797.234006,285879795543.6758,33423653587766.707,3604700401298.58,33423653587766.69,407603022955499.2,2,0,2,0,4,3,0,2,8,2,0,1,0,2,2,4,1,4,0,0,0,2038,19779,249981,3432765,19130,176878,2163082,225658,1996374,3239234,2038,-40289823,796501450257,-15746274350282697,-38967810,770366118598,-15229595913064922,745088474058,-14729873432223988,-14246550383668386,2.461687212690001e+24,9.834995149482187e+26,7.650577798484237e+31,-5.840595776645197e+35,9.834995149482195e+26,3.7036231104170163e+30,-3.3213799095286846e+34,7.650577798484236e+31,-3.321379909528686e+34,-5.840595776645197e+35,44,0,66,0,53,41,0,22,153,43,0,36,0,63,35,54,29,64,0,0,0,4291,44722,574366,8401534,44626,456962,5801750,585176,5927400,8289238,4291,-191857380,8578246265442,-383546934286433046,-191445540,8559832132870,-382723604151966286,8541457773340,-381902052355142032,-381082275031963578,5.183071555276151e+24,7.900735744643489e+26,1.8690090601739525e+32,-1.5434860917924976e+36,7.900735744643487e+26,8.816752613921455e+30,-9.087987123776644e+34,1.8690090601739525e+32,-9.087987123776646e+34,-1.5434860917924976e+36,32,0,10,0,99,73,0,54,151,33,0,2,0,13,41,98,9,88,0,0,0,1,0
11150,186084,4099672,102003990,183891,3056770,67389904,4022613,66546296,99513165,11150,-2074650516,386024643463960,-71826567701882416842,-2050200759,381475341921682,-70980091208236152920,376979655896001,-70143590813996431924,-69316948942071644121,2.2889975759837855e+42,5.808478332428518e+44,9.032539995999018e+50,-3.347472476350789e+55,5.808478332428519e+44,4.795355055513441e+49,-2.398726744707101e+54,9.032539995999018e+50,-2.398726744707101e+54,-3.3474724763507883e+55,66,13,69,82,38,51,21,43,71,115,21,33,92,55,59,106,47,59,8,28,0,10378879,105088085,1365080125,19844421473,109578399,1093719523,14096805735,1491770747,14786322539,22800500595,10378879,-1090696413468630,114619186364282290386450,-12045109638739969070294008633902,-1137300834656322,119516755267551497566978,-12559785726351250060218024881950,124623592635579444356024,-13096453434056031913874988858770,-13656052442880847476946764957888,1.2536581803904208e+28,1.428214073442725e+30,4.71095275775163e+35,-4.581447577077607e+39,1.428214073442725e+30,2.42154411335114e+34,-3.386170100592241e+38,4.71095275775163e+35,-3.3861701005922413e+38,-4.581447577077607e+39,35646,8118,38143,46114,25102,25235,12861,27114,35503,67325,9738,21380,41414,29152,34907,49329,24529,26667,5442,16784,0,10462428,110681057,1473956543,21662927783,109660701,1144161053,15131335329,1496789971,15517205673,22984643469,10462428,-1157992479145339,128167819339561672462617,-14185748362012302352121943338095,-1147317078981327,126986254878444601742735,-14054971571041854969755143673681,125815583124896837708797,-13925400396343538058415579378205,-13797023723478887957513622050469,1.2637500108581861e+28,1.6752931532922604e+30,4.736699224091978e+35,-4.6307636645454953e+39,1.6752931532922604e+30,2.5175069160286304e+34,-3.4298596622407404e+38,4.736699224091977e+35,-3.42985966224074e+38,-4.6307636645454953e+39,35502,5896,36239,42282,15862,29743,9777,19240,41035,56645,12900,14194,57762,30138,28695,64939,26137,36935,3182,13400,0,0,1
310,1103,4849,23579,1163,4128,17998,5149,18114,24977,310,-340827,374720421,-411985377951,-359367,395103140,-434394021726,416596401,-458023530310,-482940528213,5276901.270188578,-27512392.931557186,269984213414.878,-20853976150571.57,-27512392.931557182,15963088723.737967,-9396661013596.291,269984213414.87802,-9396661013596.291,-20853976150571.57,7,0,0,1,3,3,0,0,8,2,1,1,0,3,0,0,1,4,0,1,0,429,11845,216985,3749065,-4812,32634,1083150,-131278,-175812,-2601570,429,-5069660,59910035660,-707977607842160,2059536,-24338173146,287611176611310,9887200610,-116839302281966,47464519798950,5.181863661648728e+23,2.810548798056066e+27,-2.4405157772254312e+31,7.234658919295283e+35,2.810548798056066e+27,1.9373585392525113e+30,9.592571427244669e+34,-2.4405157772254317e+31,9.59257142724467e+34,7.234658919295282e+35,115,0,0,35,16,29,0,0,146,14,34,31,0,77,0,0,16,89,0,28,0,2897,18239,165155,1842425,33701,211684,1935010,484501,3070734,7631117,2897,-52820144,963054110450,-17559082536993296,-97598096,1779477212089,-32444683283710571,3288018160396,-59949462413080039,-110771256512039780,3.49926783864717e+24,-5.188781377513617e+26,1.471310732311426e+32,-1.6061165553113116e+36,-5.188781377513617e+26,6.717886359113167e+30,-1.3325879428795364e+35,1.4713107323114264e+32,-1.3325879428795364e+35,-1.6061165553113116e+36,137,0,0,1,92,79,0,0,142,58,2,5,0,31,0,0,20,55,0,8,0,1,0
